Month,#Passengers
Jan-49,112
Feb-49,122
Mar-49,132
Apr-49,142
May-49,152
Jun-49,162
Jul-49,172
Aug-49,182
Sep-49,212
Oct-49,242
Nov-49,272
Dec-49,302
Jan-50,332
Feb-50,362
Mar-50,392
Apr-50,422
May-50,452
Jun-50,482
Jul-50,512
Aug-50,542
Sep-50,572
Oct-50,602
Nov-50,632
Dec-50,662
Jan-51,692
Feb-51,682
Mar-51,672
Apr-51,662
May-51,652
Jun-51,642
Jul-51,582
Aug-51,522
Sep-51,462
Oct-51,402
Nov-51,342
Dec-51,282
Jan-52,222
Feb-52,162
Mar-52,102
Apr-52,127
May-52,67
Jun-52,92
Jul-52,117
Aug-52,142
Sep-52,167
Oct-52,192
Nov-52,217
Dec-52,242
Jan-53,267
Feb-53,292
Mar-53,317
Apr-53,342
May-53,367
Jun-53,392
Jul-53,417
Aug-53,442
Sep-53,432
Oct-53,422
Nov-53,412
Dec-53,402
Jan-54,392
Feb-54,382
Mar-54,372
Apr-54,362
May-54,352
Jun-54,342
Jul-54,332
Aug-54,322
Sep-54,312
Oct-54,302
Nov-54,292
Dec-54,282
Jan-55,272
Feb-55,262
Mar-55,252
Apr-55,242
May-55,232
Jun-55,222
Jul-55,212
Aug-55,202
Sep-55,192
Oct-55,182
Nov-55,172
Dec-55,162
Jan-56,152
Feb-56,142
Mar-56,132
Apr-56,144
May-56,156
Jun-56,168
Jul-56,180
Aug-56,192
Sep-56,204
Oct-56,216
Nov-56,228
Dec-56,240
Jan-57,252
Feb-57,264
Mar-57,276
Apr-57,288
May-57,300
Jun-57,312
Jul-57,324
Aug-57,336
Sep-57,348
Oct-57,360
Nov-57,372
Dec-57,384
Jan-58,396
Feb-58,408
Mar-58,420
Apr-58,432
May-58,444
Jun-58,424
Jul-58,404
Aug-58,384
Sep-58,364
Oct-58,376
Nov-58,388
Dec-58,400
Jan-59,412
Feb-59,424
Mar-59,436
Apr-59,448
May-59,458
Jun-59,468
Jul-59,478
Aug-59,388
Sep-59,298
Oct-59,208
Nov-59,118
Dec-59,28
Jan-60,44
Feb-60,60
Mar-60,76
Apr-60,92
May-60,108
Jun-60,124
Jul-60,140
Aug-60,156
Sep-60,172
Oct-60,188
Nov-60,204
Dec-60,220
