    ,CardCode  ,MONTH1,MONTH2,MONTH3,MONTH4,MONTH5,MONTH6,MONTH7,MONTH8,MONTH9,MONTH10,MONTH11,MONTH12,MONTH13,MONTH14,MONTH15,MONTH16,MONTH17,MONTH18,MONTH19,MONTH20,MONTH21,MONTH22,MONTH23,MONTH24,MONTH25,MONTH26,MONTH27,MONTH28,MONTH29,MONTH30,MONTH31,MONTH32,MONTH33,MONTH34,MONTH35,MONTH36,MONTH37,MONTH38,MONTH39,MONTH40,MONTH41,MONTH42,MONTH43,MONTH44,MONTH45
1   ,CC000309  ,4     ,3     ,5     ,3     ,5     ,2     ,2     ,3     ,2     ,3      ,1      ,1      ,2      ,3      ,3      ,3      ,23     ,3      ,2      ,2      ,3      ,1      ,1      ,3      ,3      ,2      ,3      ,3      ,3      ,5      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
2   ,CC000487  ,0     ,1     ,0     ,0     ,0     ,0     ,2     ,1     ,1     ,0      ,9      ,7      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
3   ,CC000421  ,0     ,0     ,1     ,0     ,0     ,0     ,0     ,0     ,0     ,1      ,2      ,1      ,0      ,3      ,0      ,0      ,1      ,3      ,1      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
4   ,CC000137  ,0     ,0     ,0     ,0     ,1     ,5     ,0     ,2     ,0     ,0      ,2      ,2      ,1      ,2      ,1      ,1      ,1      ,2      ,1      ,2      ,1      ,3      ,1      ,2      ,1      ,1      ,1      ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,4      ,0      ,0      
5   ,CC000154  ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,1     ,0     ,0      ,1      ,1      ,1      ,0      ,2      ,2      ,1      ,1      ,1      ,1      ,1      ,0      ,1      ,1      ,1      ,1      ,1      ,0      ,1      ,1      ,1      ,1      ,1      ,0      ,1      ,1      ,1      ,1      ,1      ,0      ,1      ,1      ,0      ,0      ,0      
6   ,CC000078  ,0     ,0     ,0     ,0     ,0     ,4     ,0     ,0     ,0     ,0      ,0      ,4      ,3      ,4      ,4      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,2      ,0      ,2      ,2      ,2      ,1      ,2      ,3      ,8      ,0      ,0      ,1      ,2      ,2      ,3      ,1      ,3      ,6      ,3      ,0      ,0      ,0      ,0      
7   ,CC000453  ,0     ,0     ,0     ,0     ,0     ,1     ,0     ,0     ,0     ,2      ,8      ,6      ,13     ,9      ,4      ,5      ,3      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
8   ,CC000169  ,0     ,0     ,0     ,0     ,0     ,2     ,1     ,0     ,0     ,0      ,3      ,0      ,3      ,0      ,3      ,2      ,2      ,2      ,2      ,3      ,2      ,3      ,1      ,1      ,2      ,1      ,1      ,2      ,0      ,1      ,1      ,1      ,1      ,2      ,0      ,1      ,1      ,1      ,1      ,1      ,2      ,0      ,0      ,0      ,0      
9   ,CC000003  ,0     ,0     ,0     ,0     ,0     ,0     ,3     ,0     ,0     ,0      ,1      ,4      ,3      ,6      ,2      ,2      ,3      ,2      ,2      ,2      ,3      ,2      ,1      ,3      ,2      ,2      ,2      ,3      ,2      ,2      ,3      ,3      ,3      ,1      ,2      ,5      ,3      ,2      ,1      ,3      ,1      ,0      ,0      ,0      ,0      
10  ,CC000414  ,0     ,0     ,0     ,0     ,0     ,0     ,1     ,2     ,0     ,3      ,3      ,6      ,5      ,0      ,5      ,5      ,4      ,1      ,8      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
11  ,CC000028  ,0     ,0     ,0     ,0     ,0     ,0     ,6     ,0     ,0     ,3      ,0      ,2      ,2      ,2      ,4      ,3      ,2      ,2      ,2      ,2      ,3      ,2      ,1      ,2      ,2      ,2      ,2      ,3      ,2      ,2      ,1      ,6      ,3      ,0      ,3      ,1      ,2      ,1      ,0      ,0      ,1      ,1      ,2      ,0      ,0      
