n,v
1,130
2,673
3,623
4,793
5,710
6,726
7,653
8,660
9,531
10,575
11,482
12,507
13,587
14,520
15,564
16,685
17,650
18,643
19,577
20,618
21,738
22,659
23,650
24,611
25,627
26,448
27,516
28,600
29,593
30,653
31,758
32,601
33,685
34,705
35,625
36,584
37,530
38,414
39,558
40,561
41,457
42,565
43,533
44,550
45,610
46,497
47,568
48,490
49,508
50,490
51,502
52,552
53,530
54,577
55,543
56,467
57,378
58,468
59,410
60,420
61,430
62,401
63,329
64,392
65,443
66,444
67,404
68,410
69,424
70,403
71,459
72,341
73,307
74,416
75,363
76,410
77,367
78,398
79,337
80,351
81,318
82,309
83,332
84,267
85,327
86,294
87,250
88,293
89,268
90,226
91,231
92,195
93,244
94,245
95,251
96,241
97,225
98,109
99,165
100,175
101,109
102,105
103,246
104,212
105,199
106,199
107,219
108,180
109,161
