    ,CardCode  ,MONTH1,MONTH2,MONTH3,MONTH4,MONTH5,MONTH6,MONTH7,MONTH8,MONTH9,MONTH10,MONTH11,MONTH12,MONTH13,MONTH14,MONTH15,MONTH16,MONTH17,MONTH18,MONTH19,MONTH20,MONTH21,MONTH22,MONTH23,MONTH24,MONTH25,MONTH26,MONTH27,MONTH28,MONTH29,MONTH30,MONTH31,MONTH32,MONTH33,MONTH34,MONTH35,MONTH36,MONTH37,MONTH38,MONTH39,MONTH40,MONTH41,MONTH42,MONTH43,MONTH44,MONTH45,MONTH46,MONTH47,MONTH48,MONTH49,MONTH50,MONTH51,MONTH52,MONTH53,MONTH54,MONTH55,MONTH56,MONTH57,MONTH58,MONTH59,MONTH60,MONTH61,MONTH62,MONTH63,MONTH64,MONTH65,MONTH66,MONTH67,MONTH68,MONTH69,MONTH70,MONTH71,MONTH72,MONTH73,MONTH74,MONTH75,MONTH76,MONTH77,MONTH78,MONTH79,MONTH80,MONTH81,MONTH82,MONTH83,MONTH84,MONTH85,MONTH86,MONTH87,MONTH88,MONTH89,MONTH90,MONTH91,MONTH92,MONTH93,MONTH94,MONTH95,MONTH96,MONTH97,MONTH98,MONTH99,MONTH100,MONTH101,MONTH102,MONTH103,MONTH104,MONTH105,MONTH106,MONTH107,MONTH108,MONTH109,MONTH110
1   ,1628      ,2     ,0     ,0     ,2     ,0     ,1     ,0     ,1     ,2     ,0      ,0      ,1      ,3      ,0      ,0      ,2      ,1      ,0      ,2      ,0      ,1      ,0      ,1      ,2      ,1      ,0      ,0      ,1      ,1      ,1      ,0      ,1      ,0      ,0      ,0      ,1      ,0      ,0      ,2      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
2   ,G-065     ,1     ,0     ,0     ,1     ,1     ,0     ,0     ,2     ,2     ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
3   ,1042      ,4     ,4     ,3     ,5     ,1     ,3     ,2     ,2     ,0     ,1      ,1      ,2      ,3      ,1      ,3      ,3      ,3      ,2      ,2      ,5      ,2      ,2      ,3      ,3      ,3      ,4      ,2      ,2      ,2      ,6      ,6      ,3      ,6      ,6      ,6      ,4      ,0      ,6      ,5      ,9      ,6      ,7      ,6      ,5      ,9      ,5      ,4      ,6      ,6      ,7      ,6      ,7      ,5      ,5      ,4      ,7      ,4      ,3      ,3      ,4      ,7      ,5      ,5      ,4      ,4      ,5      ,3      ,3      ,5      ,3      ,4      ,2      ,3      ,4      ,2      ,2      ,3      ,1      ,2      ,5      ,2      ,4      ,2      ,0      ,2      ,4      ,2      ,5      ,6      ,1      ,2      ,1      ,5      ,4      ,1      ,3      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
4   ,1505      ,1     ,2     ,2     ,2     ,3     ,4     ,0     ,2     ,2     ,0      ,1      ,0      ,1      ,2      ,2      ,2      ,1      ,1      ,0      ,1      ,0      ,1      ,0      ,0      ,1      ,0      ,0      ,2      ,0      ,0      ,1      ,0      ,1      ,0      ,0      ,0      ,2      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,1      ,1      ,1      ,0      ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
5   ,175       ,1     ,0     ,1     ,0     ,0     ,0     ,2     ,0     ,0     ,0      ,0      ,0      ,1      ,1      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,3      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
6   ,168       ,2     ,1     ,2     ,2     ,4     ,7     ,5     ,4     ,4     ,2      ,3      ,2      ,2      ,2      ,3      ,1      ,3      ,3      ,0      ,0      ,7      ,2      ,1      ,3      ,4      ,3      ,2      ,3      ,4      ,6      ,3      ,1      ,3      ,2      ,4      ,2      ,5      ,1      ,2      ,2      ,1      ,0      ,1      ,2      ,1      ,1      ,0      ,4      ,0      ,0      ,2      ,1      ,8      ,4      ,2      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,2       ,0       ,0       ,0       
7   ,427       ,1     ,0     ,2     ,0     ,0     ,3     ,3     ,0     ,0     ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,1      ,0      ,1      ,0      ,0      ,4      ,0      ,0      ,0      ,0      ,0      ,1      ,1      ,0      ,0      ,3      ,0      ,0      ,0      ,0      ,2      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
8   ,2018      ,1     ,2     ,0     ,1     ,1     ,0     ,3     ,0     ,1     ,0      ,0      ,4      ,0      ,0      ,2      ,3      ,2      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
9   ,849       ,1     ,1     ,1     ,0     ,1     ,0     ,1     ,0     ,1     ,1      ,0      ,2      ,0      ,0      ,2      ,0      ,0      ,0      ,1      ,0      ,1      ,0      ,1      ,1      ,1      ,0      ,1      ,1      ,0      ,1      ,0      ,0      ,2      ,0      ,1      ,2      ,0      ,1      ,0      ,1      ,1      ,1      ,0      ,2      ,0      ,2      ,1      ,2      ,0      ,3      ,2      ,1      ,1      ,0      ,1      ,0      ,3      ,1      ,1      ,1      ,1      ,1      ,0      ,1      ,1      ,0      ,3      ,1      ,0      ,0      ,0      ,0      ,1      ,0      ,1      ,1      ,1      ,1      ,0      ,1      ,1      ,2      ,1      ,0      ,1      ,1      ,1      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0       ,1       ,0       ,0       ,1       ,0       ,1       ,1       ,0       ,0       ,0       
10  ,723       ,1     ,1     ,2     ,3     ,2     ,3     ,2     ,2     ,3     ,2      ,2      ,2      ,2      ,2      ,2      ,1      ,2      ,1      ,2      ,1      ,2      ,1      ,4      ,2      ,4      ,2      ,2      ,3      ,5      ,3      ,3      ,4      ,7      ,4      ,1      ,3      ,3      ,2      ,1      ,4      ,2      ,4      ,4      ,2      ,2      ,2      ,4      ,4      ,3      ,4      ,4      ,4      ,4      ,4      ,6      ,2      ,2      ,3      ,1      ,2      ,3      ,3      ,3      ,2      ,6      ,3      ,6      ,4      ,2      ,4      ,4      ,2      ,2      ,5      ,4      ,3      ,3      ,3      ,3      ,4      ,1      ,3      ,3      ,1      ,2      ,2      ,2      ,2      ,1      ,2      ,1      ,0      ,2      ,3      ,1      ,2      ,2      ,0      ,2      ,3       ,0       ,0       ,4       ,2       ,1       ,2       ,1       ,1       ,1       ,0       
11  ,2136      ,1     ,1     ,1     ,0     ,2     ,3     ,1     ,0     ,1     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
12  ,1037      ,2     ,40    ,11    ,20    ,17    ,12    ,18    ,36    ,9     ,6      ,10     ,7      ,15     ,18     ,21     ,31     ,17     ,23     ,14     ,11     ,29     ,24     ,7      ,11     ,32     ,11     ,20     ,27     ,16     ,16     ,31     ,21     ,15     ,20     ,16     ,33     ,13     ,9      ,34     ,14     ,0      ,17     ,18     ,21     ,43     ,18     ,19     ,14     ,9      ,23     ,32     ,10     ,15     ,11     ,12     ,12     ,16     ,9      ,12     ,20     ,12     ,13     ,9      ,12     ,21     ,10     ,21     ,9      ,11     ,11     ,21     ,17     ,0      ,20     ,14     ,9      ,19     ,11     ,11     ,23     ,9      ,10     ,22     ,10     ,0      ,8      ,14     ,8      ,9      ,7      ,0      ,8      ,5      ,0      ,11     ,8      ,9      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
13  ,149       ,1     ,0     ,0     ,1     ,0     ,1     ,1     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
14  ,965       ,1     ,4     ,3     ,5     ,4     ,3     ,2     ,2     ,3     ,4      ,2      ,2      ,4      ,2      ,3      ,3      ,5      ,4      ,4      ,6      ,4      ,4      ,4      ,5      ,6      ,6      ,4      ,3      ,7      ,5      ,5      ,4      ,4      ,5      ,4      ,4      ,5      ,5      ,5      ,5      ,3      ,4      ,5      ,4      ,5      ,4      ,4      ,6      ,5      ,4      ,5      ,5      ,4      ,5      ,4      ,5      ,6      ,6      ,3      ,5      ,7      ,4      ,5      ,4      ,4      ,7      ,4      ,4      ,5      ,4      ,5      ,3      ,4      ,4      ,5      ,4      ,3      ,6      ,3      ,1      ,2      ,2      ,5      ,1      ,4      ,4      ,4      ,2      ,3      ,4      ,3      ,3      ,2      ,4      ,0      ,3      ,4      ,0      ,3      ,1       ,0       ,2       ,0       ,0       ,2       ,2       ,0       ,0       ,0       ,0       
15  ,163       ,1     ,4     ,1     ,4     ,0     ,2     ,4     ,1     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
16  ,065       ,1     ,0     ,0     ,1     ,0     ,0     ,0     ,0     ,0     ,2      ,0      ,0      ,1      ,0      ,0      ,0      ,1      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,1      ,0      ,0      ,1      ,1      ,2      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,1       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
17  ,1266      ,1     ,1     ,0     ,0     ,1     ,2     ,0     ,0     ,0     ,0      ,0      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
18  ,141       ,2     ,0     ,0     ,0     ,1     ,0     ,0     ,0     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,2      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
19  ,980       ,1     ,4     ,1     ,4     ,0     ,5     ,2     ,3     ,0     ,4      ,0      ,0      ,0      ,1      ,2      ,2      ,0      ,2      ,3      ,2      ,2      ,0      ,0      ,0      ,0      ,1      ,3      ,3      ,1      ,4      ,0      ,0      ,2      ,2      ,3      ,1      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,2      ,1      ,2      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
20  ,C-0313    ,1     ,4     ,2     ,1     ,3     ,3     ,1     ,4     ,2     ,3      ,2      ,2      ,4      ,2      ,2      ,2      ,2      ,4      ,0      ,2      ,3      ,1      ,3      ,5      ,2      ,2      ,2      ,3      ,2      ,1      ,3      ,3      ,4      ,5      ,2      ,2      ,7      ,0      ,4      ,5      ,6      ,7      ,7      ,3      ,3      ,2      ,3      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
21  ,170       ,2     ,0     ,2     ,3     ,2     ,0     ,1     ,0     ,1     ,0      ,0      ,0      ,3      ,0      ,1      ,1      ,3      ,4      ,7      ,10     ,6      ,3      ,5      ,3      ,8      ,0      ,1      ,6      ,5      ,20     ,21     ,9      ,16     ,18     ,20     ,6      ,4      ,3      ,1      ,3      ,2      ,5      ,6      ,6      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
22  ,699       ,2     ,8     ,3     ,6     ,6     ,6     ,2     ,4     ,4     ,4      ,3      ,2      ,3      ,3      ,3      ,2      ,5      ,6      ,4      ,4      ,7      ,5      ,5      ,4      ,5      ,4      ,3      ,5      ,3      ,5      ,5      ,3      ,2      ,6      ,4      ,4      ,5      ,2      ,2      ,6      ,7      ,4      ,5      ,4      ,4      ,5      ,3      ,3      ,5      ,1      ,3      ,4      ,6      ,3      ,4      ,3      ,3      ,4      ,4      ,1      ,7      ,3      ,3      ,4      ,0      ,4      ,3      ,3      ,6      ,1      ,2      ,3      ,2      ,4      ,3      ,5      ,1      ,1      ,2      ,4      ,2      ,2      ,1      ,1      ,2      ,2      ,1      ,1      ,0      ,0      ,0      ,4      ,3      ,2      ,7      ,0      ,0      ,0      ,3      ,1       ,4       ,0       ,2       ,2       ,4       ,0       ,1       ,1       ,0       ,0       
23  ,1087      ,1     ,0     ,2     ,1     ,2     ,2     ,1     ,1     ,1     ,1      ,0      ,2      ,2      ,0      ,3      ,4      ,3      ,1      ,4      ,3      ,2      ,2      ,1      ,1      ,2      ,2      ,4      ,2      ,1      ,1      ,4      ,3      ,3      ,2      ,2      ,4      ,1      ,3      ,1      ,5      ,3      ,5      ,5      ,5      ,3      ,3      ,4      ,3      ,3      ,3      ,3      ,2      ,3      ,3      ,1      ,3      ,3      ,2      ,2      ,2      ,2      ,3      ,1      ,4      ,3      ,3      ,7      ,3      ,4      ,4      ,2      ,3      ,2      ,5      ,1      ,3      ,3      ,2      ,2      ,3      ,1      ,2      ,0      ,1      ,1      ,2      ,1      ,1      ,1      ,0      ,1      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
24  ,1902      ,1     ,1     ,1     ,2     ,0     ,2     ,1     ,2     ,0     ,1      ,2      ,1      ,1      ,2      ,1      ,1      ,2      ,2      ,1      ,0      ,0      ,0      ,1      ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       ,0       
