    ,CardCode,MONTH1,MONTH2,MONTH3,MONTH4,MONTH5,MONTH6,MONTH7,MONTH8,MONTH9,MONTH10,MONTH11,MONTH12,MONTH13,MONTH14,MONTH15,MONTH16,MONTH17,MONTH18,MONTH19,MONTH20,MONTH21,MONTH22,MONTH23,MONTH24,MONTH25,MONTH26,MONTH27,MONTH28,MONTH29,MONTH30,MONTH31,MONTH32,MONTH33,MONTH34,MONTH35,MONTH36,MONTH37,MONTH38,MONTH39,MONTH40,MONTH41,MONTH42,MONTH43,MONTH44,MONTH45,MONTH46,MONTH47,MONTH48,MONTH49,MONTH50,MONTH51,MONTH52,MONTH53,MONTH54,MONTH55,MONTH56,MONTH57,MONTH58,MONTH59,MONTH60,MONTH61,MONTH62,MONTH63,MONTH64,MONTH65,MONTH66,MONTH67,MONTH68,MONTH69,MONTH70,MONTH71,MONTH72,MONTH73,MONTH74,MONTH75,MONTH76,MONTH77,MONTH78,MONTH79,MONTH80,MONTH81,MONTH82,MONTH83
1   ,A-CASH  ,252   ,404   ,285   ,465   ,430   ,403   ,454   ,419   ,362   ,381    ,320    ,434    ,361    ,449    ,402    ,394    ,310    ,360    ,373    ,461    ,259    ,278    ,285    ,332    ,318    ,414    ,383    ,368    ,325    ,269    ,313    ,591    ,289    ,324    ,292    ,250    ,312    ,287    ,244    ,387    ,357    ,268    ,288    ,386    ,260    ,219    ,167    ,167    ,177    ,193    ,136    ,230    ,239    ,249    ,237    ,262    ,239    ,194    ,178    ,213    ,207    ,185    ,200    ,205    ,182    ,168    ,242    ,312    ,137    ,150    ,139    ,130    ,123    ,130    ,172    ,119    ,69     ,69     ,55     ,28     ,0      ,0      ,0      
2   ,STOCK   ,44    ,86    ,81    ,78    ,98    ,88    ,80    ,85    ,51    ,47     ,71     ,70     ,46     ,71     ,37     ,36     ,35     ,41     ,48     ,40     ,68     ,53     ,65     ,48     ,32     ,68     ,39     ,86     ,63     ,41     ,63     ,72     ,27     ,28     ,28     ,40     ,70     ,25     ,37     ,56     ,30     ,34     ,34     ,34     ,22     ,19     ,11     ,13     ,8      ,21     ,5      ,13     ,24     ,21     ,30     ,28     ,28     ,35     ,18     ,11     ,12     ,5      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      
3   ,A-SAMP  ,16    ,19    ,14    ,21    ,19    ,23    ,19    ,19    ,27    ,14     ,21     ,16     ,15     ,14     ,10     ,13     ,18     ,18     ,21     ,15     ,16     ,19     ,4      ,18     ,20     ,9      ,2      ,20     ,25     ,26     ,20     ,10     ,6      ,12     ,8      ,13     ,16     ,5      ,8      ,12     ,8      ,14     ,7      ,14     ,3      ,14     ,6      ,8      ,10     ,18     ,5      ,3      ,3      ,11     ,9      ,16     ,8      ,9      ,17     ,10     ,18     ,15     ,7      ,9      ,3      ,14     ,7      ,21     ,4      ,18     ,8      ,22     ,18     ,22     ,8      ,5      ,6      ,4      ,0      ,0      ,0      ,0      ,0      
4   ,J005    ,2     ,1     ,0     ,0     ,0     ,2     ,1     ,1     ,0     ,0      ,0      ,3      ,1      ,1      ,0      ,0      ,0      ,2      ,1      ,0      ,3      ,1      ,4      ,4      ,0      ,0      ,0      ,0      ,0      ,0      ,3      ,0      ,0      ,2      ,1      ,0      ,1      ,0      ,2      ,2      ,0      ,2      ,0      ,0      ,0      ,4      ,5      ,7      ,3      ,2      ,1      ,0      ,3      ,4      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
5   ,T064    ,1     ,0     ,0     ,0     ,1     ,0     ,0     ,2     ,0     ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
6   ,R043    ,1     ,0     ,0     ,0     ,0     ,0     ,0     ,2     ,0     ,0      ,1      ,1      ,2      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,2      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
7   ,A-TEMP  ,5     ,19    ,17    ,2     ,21    ,20    ,13    ,13    ,23    ,4      ,6      ,11     ,3      ,10     ,3      ,9      ,19     ,18     ,9      ,19     ,15     ,22     ,15     ,20     ,12     ,11     ,5      ,12     ,17     ,10     ,7      ,19     ,18     ,17     ,11     ,13     ,10     ,5      ,2      ,4      ,11     ,3      ,4      ,7      ,9      ,1      ,3      ,5      ,6      ,14     ,9      ,7      ,10     ,11     ,10     ,6      ,7      ,16     ,7      ,7      ,10     ,7      ,2      ,5      ,6      ,9      ,4      ,9      ,5      ,9      ,6      ,6      ,8      ,7      ,4      ,9      ,4      ,2      ,0      ,0      ,0      ,0      ,0      
8   ,U027    ,2     ,1     ,0     ,0     ,0     ,1     ,0     ,1     ,5     ,0      ,0      ,0      ,2      ,0      ,0      ,0      ,1      ,3      ,0      ,0      ,1      ,0      ,0      ,1      ,1      ,3      ,3      ,1      ,7      ,1      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,1      ,0      ,0      ,0      
9   ,A-EXC   ,5     ,12    ,5     ,8     ,11    ,9     ,6     ,7     ,5     ,10     ,5      ,9      ,20     ,16     ,5      ,20     ,11     ,17     ,22     ,18     ,17     ,11     ,11     ,20     ,7      ,9      ,11     ,20     ,14     ,18     ,19     ,21     ,17     ,15     ,17     ,15     ,18     ,20     ,5      ,13     ,13     ,16     ,11     ,21     ,14     ,10     ,3      ,12     ,17     ,5      ,7      ,20     ,15     ,15     ,16     ,12     ,10     ,17     ,15     ,5      ,13     ,6      ,1      ,4      ,10     ,15     ,12     ,11     ,8      ,7      ,19     ,17     ,25     ,25     ,19     ,18     ,11     ,2      ,3      ,0      ,0      ,0      ,0      
10  ,A-GUW   ,3     ,1     ,1     ,2     ,4     ,1     ,2     ,3     ,9     ,9      ,9      ,26     ,8      ,6      ,14     ,17     ,8      ,9      ,19     ,9      ,7      ,10     ,10     ,5      ,10     ,14     ,4      ,13     ,9      ,3      ,4      ,12     ,5      ,21     ,10     ,15     ,8      ,9      ,3      ,22     ,9      ,5      ,13     ,14     ,10     ,8      ,6      ,7      ,13     ,15     ,4      ,6      ,6      ,3      ,2      ,4      ,4      ,8      ,5      ,11     ,10     ,9      ,3      ,7      ,4      ,11     ,6      ,7      ,9      ,7      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      ,0      
