序号	测试语句	主题	View
1	本月top3的销售是谁？	销售TopN	销量表
2	上月top3的销售是谁？	销售TopN	销量表
3	这个月哪三个销售卖的最好？	销售TopN	销量表
4	今年3月的销售头五名是谁？	销售TopN	销量表
5	今年帽子卖得最好的销售是谁?	销售TopN	销量表
6	给我一张销售报表	产品销量	销量表
7	今年的总销量是多少钱	产品销量	销量表
8	给我现在的总销量信息	产品销量	销量表
9	给我三月四月的销售总额	产品销量	销量表
10	2017年2月的销售总额	产品销量	销量表
11	马总要现在的销售总额	某个产品销量	销量表
12	现在帽子销售了多少总额	某个产品销量	销量表
13	这个月帽子总销量是？	某个产品销量	销量表
14	鞋子这个月卖了多少钱	某个产品销量	销量表
15	上个月围巾的总销量?	某个产品销量	销量表
16	给我一张关于帽子的销售报表	好吧	销量表
17	要销售报表，今年的。	好吧	销量表
18	要销售报表，当月的。	好吧	销量表
19	要销售报表，4月份和5月份的总和	好吧	销量表
20	看销售报表，上半年总和	好吧	销量表
21	看一下销售报告，马上	nishuo	销量表
22	一个全新的主题	新主题	销量表
