View	测试语句
Dept_Total_Quantity	当前部门销量
Dept_Total_Quantity	部门总销量
Dept_Total_Quantity	部门的销量
Dept_Total_Quantity	最好的部门销量
Dept_Monthly_Quantity	当月部门销量
Dept_Monthly_Quantity	上月部门销量
Dept_Monthly_Quantity	一月部门销量
Dept_Monthly_Quantity	1月部门销量
Dept_Monthly_Quantity	2017年3月部门销量
Dept_Monthly_Quantity	去年最好的部门销量
Product_Total_Quantity	产品总销量
Product_Total_Quantity	产品销量
Product_Total_Quantity	联想电脑的销量
Product_Total_Quantity	玫瑰花的销量
Product_Monthly_Quantity	当月产品销量
Product_Monthly_Quantity	上月产品销量
Product_Monthly_Quantity	本月联想电脑的销量
Product_Monthly_Quantity	上月联想电脑的销量
Product_Monthly_Quantity	本季度花卉的销量
Product_Monthly_Quantity	上个月玫瑰花的销售情况
Sale_Total_Quantity	最好的销售
Sale_Total_Quantity	销量最好的销售
Sale_Total_Quantity	销售销量
Sale_Total_Quantity	前三名的销售
Sale_Total_Quantity	Top3的销售
Sale_Monthly_Quantity	当月销售销量
Sale_Monthly_Quantity	去年销量最好的销售
Sale_Monthly_Quantity	上个月前三名的销售
Sale_Monthly_Quantity	去年前五名的销售
Sale_Monthly_Quantity	当月销售联想电脑销量最好的销售
